country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
United Kingdom,219,126,195,10585.35
Uruguay,115,35,220,7566
USA,249,158,84,9423.6
Uzbekistan,25,101,8,1959
Vanuatu,21,18,11,930.15
Venezuela,333,100,3,9052.95
Vietnam,111,2,1,2641.65
Yemen,6,0,0,140.4
Zambia,32,19,4,1057.8
Zimbabwe,64,18,4,1794.6
